,Unnamed: 0,Artist and Title,Artist,Streams,Daily,year,main_genre,genres,first_genre,second_genre,third_genre,track_name,track_id
0,0,J. Cole - No Role Modelz,J. Cole,2300753974,987553,2014.0,Hip-Hop/Rap,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",conscious hip hop,hip hop,north carolina hip hop, No Role Modelz,
1,1,Sam Smith - Stay With Me,Sam Smith,2135129240,875392,2014.0,Pop,"['pop', 'uk pop']",pop,uk pop,Unknown, Stay With Me,
2,2,Mark Ronson - Uptown Funk,Mark Ronson,2039781091,675268,2014.0,Pop,['pop soul'],pop soul,Unknown,Unknown, Uptown Funk,
3,3,Sam Smith - I'm Not The Only One,Sam Smith,1926711475,791299,2014.0,Pop,"['pop', 'uk pop']",pop,uk pop,Unknown, I'm Not The Only One,1G5H6Dh8AmuUZY7abHcYMH
4,4,Maroon 5 - Sugar,Maroon 5,1877824112,552959,2014.0,Pop,['pop'],pop,Unknown,Unknown, Sugar,
5,5,Taylor Swift - Blank Space,Taylor Swift,1876365684,729785,2014.0,Pop,['pop'],pop,Unknown,Unknown, Blank Space,
6,6,Avicii - The Nights,Avicii,1843146518,960931,2014.0,Pop,"['dance pop', 'edm', 'pop', 'pop dance']",dance pop,edm,pop, The Nights,5ZAkTjR9P8EmkQ5VXOaK5N
7,7,Sia - Chandelier,Sia,1777200684,687630,2014.0,Pop,['musical advocacy'],musical advocacy,Unknown,Unknown, Chandelier,3Zk4VT79PVNEzeSQvGyB0L
8,8,WALK THE MOON - Shut Up and Dance,WALK THE MOON,1767727803,1119671,2014.0,Rock,"['dance rock', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop rock']",dance rock,modern alternative rock,modern rock, Shut Up and Dance,
9,9,Maroon 5 - Maps,Maroon 5,1747194196,1053460,2014.0,Pop,['pop'],pop,Unknown,Unknown, Maps,
10,10,The Weeknd - Earned It (Fifty Shades Of Grey),The Weeknd,1705371041,615543,2014.0,R&B/Soul,"['canadian contemporary r&b', 'canadian pop', 'pop']",canadian contemporary r&b,canadian pop,pop, Earned It (Fifty Shades Of Grey),
11,11,One Direction - Night Changes,One Direction,1643610794,1545090,2014.0,Pop,"['boy band', 'pop', 'post-teen pop', 'talent show']",boy band,pop,post-teen pop, Night Changes,
12,12,Coldplay - A Sky Full of Stars,Coldplay,1583668307,1394236,2014.0,Rock,"['permanent wave', 'pop']",permanent wave,pop,Unknown, A Sky Full of Stars,7qzGU9S9HeokAhmy22oLHV
13,13,Calvin Harris - Summer,Calvin Harris,1570957137,1043981,2014.0,Pop,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",dance pop,edm,electro house, Summer,
14,14,Ariana Grande - One Last Time,Ariana Grande,1512768552,772581,2014.0,Pop,['pop'],pop,Unknown,Unknown, One Last Time,
15,15,The Walters - I Love You So,The Walters,1509771194,1600237,2014.0,Indie/Alternative,"['chicago indie', 'pov: indie']",chicago indie,pov: indie,Unknown, I Love You So,1B4Qj1Yie8zghNnzrSd4s7
16,16,Taylor Swift - Shake It Off,Taylor Swift,1451676100,631630,2014.0,Pop,['pop'],pop,Unknown,Unknown, Shake It Off,0bj1bAhoHpHRSl4IIyFvfU
17,17,Pharrell Williams - Happy,Pharrell Williams,1411867344,483482,2014.0,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown, Happy,0eMxgAHmuvoqpLyYQrbKvQ
18,18,Maroon 5 - Animals,Maroon 5,1408591187,668140,2014.0,Pop,['pop'],pop,Unknown,Unknown, Animals,
19,19,Jessie J - Bang Bang,Jessie J,1363107037,418461,2014.0,Pop,"['modern country pop', 'singer-songwriter pop']",modern country pop,singer-songwriter pop,Unknown, Bang Bang,
20,20,Clean Bandit - Rather Be,Clean Bandit,1361315441,451241,2014.0,Pop,"['pop', 'uk dance', 'uk funky']",pop,uk dance,uk funky, Rather Be,1EbmGo2xlXWY4rnKKkRH0u
